OrderNumber,OrderDate,Ship Date,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Unit Cost,Total Revenue
SO - 000101,6/1/2014,8/2/2014,15,Distributor,USD,NXH382,47,11,5,"1,963.10","1,001.18","9,815.50"
SO - 000102,6/1/2014,8/10/2014,20,Wholesale,NZD,GUT930,36,2,5,"3,939.60","3,348.66","19,698.00"
SO - 000103,6/1/2014,7/8/2014,16,Export,USD,GUT930,39,11,10,"1,775.50",781.22,"17,755.00"
SO - 000104,6/1/2014,7/12/2014,48,Export,USD,AXW291,20,7,6,"2,324.90","1,464.69","13,949.40"
SO - 000105,6/1/2014,8/28/2014,49,Wholesale,USD,AXW291,20,7,6,"1,822.40","1,476.14","10,934.40"
SO - 000106,6/1/2014,7/20/2014,21,Wholesale,NZD,NXH382,52,5,6,"1,038.50",446.56,"6,231.00"
SO - 000107,6/1/2014,7/26/2014,14,Distributor,EUR,AXW291,1,1,10,"1,192.60",536.67,"11,926.00"
SO - 000108,6/1/2014,7/18/2014,9,Distributor,USD,NXH382,51,1,10,"1,815.70","1,525.19","18,157.00"
SO - 000109,6/2/2014,7/14/2014,9,Wholesale,USD,NXH382,54,6,7,"3,879.30","2,211.20","27,155.10"
SO - 000110,6/2/2014,7/27/2014,33,Wholesale,NZD,NXH382,47,1,6,"1,956.40","1,212.97","11,738.40"
SO - 000111,6/2/2014,7/25/2014,21,Export,USD,AXW291,3,1,12,201.00,124.62,"2,412.00"
SO - 000112,6/2/2014,7/27/2014,21,Distributor,USD,AXW291,28,11,8,"6,277.90","2,762.28","50,223.20"
SO - 000113,6/2/2014,8/30/2014,36,Export,NZD,NXH382,57,1,7,"1,051.90",641.66,"7,363.30"
SO - 000114,6/2/2014,7/31/2014,17,Export,USD,NXH382,53,7,9,254.60,216.41,"2,291.40"
SO - 000115,6/2/2014,8/25/2014,32,Distributor,NZD,AXW291,25,11,5,"3,932.90","3,146.32","19,664.50"
SO - 000116,6/2/2014,8/4/2014,11,Wholesale,AUD,FLR025,64,6,10,"1,112.20",700.69,"11,122.00"
SO - 000117,6/2/2014,7/9/2014,10,Wholesale,USD,NXH382,58,4,12,"1,239.50",904.84,"14,874.00"
SO - 000118,6/2/2014,8/25/2014,30,Export,NZD,AXW291,4,13,12,984.90,393.96,"11,818.80"
SO - 000119,6/2/2014,8/29/2014,5,Distributor,AUD,FLR025,63,1,5,"5,581.10","4,130.01","27,905.50"
SO - 000120,6/2/2014,8/6/2014,23,Wholesale,AUD,AXW291,25,7,8,"3,095.40","1,795.33","24,763.20"
SO - 000121,6/2/2014,8/5/2014,46,Export,NZD,GUT930,35,1,8,"2,278.00","1,754.06","18,224.00"
SO - 000122,6/3/2014,7/8/2014,14,Export,AUD,NXH382,51,2,12,991.60,654.46,"11,899.20"
SO - 000123,6/3/2014,7/10/2014,40,Distributor,GBP,AXW291,4,13,6,"3,979.80","3,064.45","23,878.80"
SO - 000124,6/3/2014,7/6/2014,19,Wholesale,NZD,GUT930,40,12,12,"1,969.80",866.71,"23,637.60"
SO - 000125,6/3/2014,7/20/2014,15,Wholesale,NZD,GUT930,31,8,12,268.00,131.32,"3,216.00"
SO - 000126,6/3/2014,7/10/2014,46,Wholesale,USD,AXW291,20,7,11,174.20,95.81,"1,916.20"
SO - 000127,6/3/2014,8/17/2014,32,Distributor,USD,GUT930,42,1,6,"2,988.20","2,510.09","17,929.20"
SO - 000128,6/3/2014,8/14/2014,32,Wholesale,AUD,GUT930,43,5,11,"3,999.90","2,679.93","43,998.90"
SO - 000129,6/3/2014,8/26/2014,22,Distributor,USD,AXW291,18,11,10,"5,976.40","2,450.32","59,764.00"
SO - 000130,6/3/2014,8/7/2014,5,Wholesale,USD,AXW291,19,5,6,"2,901.10","2,378.90","17,406.60"
SO - 000131,6/4/2014,8/27/2014,29,Distributor,NZD,NXH382,55,1,7,"6,076.90","2,734.61","42,538.30"
SO - 000132,6/4/2014,8/10/2014,35,Distributor,GBP,NXH382,55,5,6,"5,735.20","4,186.70","34,411.20"
SO - 000133,6/4/2014,7/27/2014,46,Export,USD,GUT930,39,8,12,"3,919.50","2,077.34","47,034.00"
SO - 000134,6/4/2014,8/1/2014,42,Distributor,NZD,FLR025,66,13,8,"6,083.60","3,832.67","48,668.80"
SO - 000135,6/4/2014,8/18/2014,2,Wholesale,AUD,FLR025,61,13,5,"2,566.10","1,642.30","12,830.50"
SO - 000136,6/4/2014,8/17/2014,28,Wholesale,NZD,AXW291,15,5,10,"2,278.00","1,093.44","22,780.00"
SO - 000137,6/4/2014,7/7/2014,46,Wholesale,USD,GUT930,46,11,7,261.30,120.20,"1,829.10"
SO - 000138,6/4/2014,7/10/2014,22,Wholesale,GBP,FLR025,65,7,9,998.30,698.81,"8,984.70"
SO - 000139,6/4/2014,8/16/2014,34,Wholesale,NZD,AXW291,17,2,6,"3,497.40","1,958.54","20,984.40"
SO - 000140,6/4/2014,9/2/2014,26,Wholesale,AUD,GUT930,36,5,9,"1,132.30",486.89,"10,190.70"
SO - 000141,6/4/2014,7/26/2014,26,Wholesale,NZD,AXW291,8,11,9,"2,405.30","1,587.50","21,647.70"
SO - 000142,6/4/2014,8/6/2014,24,Distributor,NZD,FLR025,66,1,7,"5,701.70","3,249.97","39,911.90"
SO - 000143,6/5/2014,7/25/2014,18,Distributor,USD,GUT930,45,12,9,"2,452.20","1,446.80","22,069.80"
SO - 000144,6/5/2014,8/25/2014,21,Wholesale,NZD,AXW291,2,5,7,"3,095.40","2,012.01","21,667.80"
SO - 000145,6/5/2014,8/13/2014,14,Export,NZD,GUT930,38,11,9,"3,865.90","2,164.90","34,793.10"
SO - 000146,6/5/2014,7/26/2014,3,Distributor,NZD,AXW291,7,2,7,"2,304.80","1,382.88","16,133.60"
SO - 000147,6/5/2014,8/31/2014,13,Distributor,EUR,AXW291,7,13,10,"3,195.90","1,470.11","31,959.00"
